사번,본부,실,팀,성명,직군,조직상역할,직위,직위연차,직무,최초입사일,생년월일,휴대폰번호_뒷4자리
8799736,경영지원본부,인재경영실,HR기획팀,서혜경,일반,팀원,매니저,1,HR기획,2024-03-18,2002-02-20,6459
5863744,경영지원본부,경영기획실,경영기획팀,조진진,일반,팀원,매니저,3,사업관리,2010-04-15,1990-05-13,0700
8343145,경영지원본부,인재경영실,인재개발팀,정태윤,임원,실장,상무,2,HRD,2001-10-20,1979-01-21,8232
6065848,경영지원본부,인재경영실,인사운영팀,고재윤,일반,팀원,책임매니저,5,HR기획,2002-10-25,1991-09-17,2227
8335019,경영지원본부,총무지원실,자산관리팀,전승혁,일반,팀원,매니저,1,자산관리,2015-09-11,1989-05-24,0910
8587333,경영지원본부,구매지원실,설비구매팀,박윤경,일반,팀원,매니저,5,설비구매,2018-08-16,1993-10-22,8244
2079324,경영지원본부,경영기획실,경영기획팀,윤현석,일반,팀원,매니저,2,전략,2010-07-10,1987-06-03,7876
7767403,경영지원본부,총무지원실,총무팀,윤태연,일반,팀장,책임매니저,7,자산관리,1996-09-28,1976-04-25,9265
9973468,경영지원본부,재경실,재무팀,박지민,일반,팀원,매니저,6,회계,2013-11-25,1998-11-03,2368
6498346,경영지원본부,경영기획실,사업관리팀,황민혁,일반,팀원,매니저,8,전략,2007-10-27,1991-06-20,3715
4934069,경영지원본부,구매지원실,구매기획팀,한승준,일반,팀원,매니저,4,자재구매,2007-10-03,2002-02-02,9493
3022064,경영지원본부,총무지원실,업무지원팀,박우혁,일반,팀원,매니저,2,자산관리,2019-03-18,1997-10-02,3642
3524094,경영지원본부,총무지원실,총무팀,허예호,일반,팀원,매니저,6,총무,2025-02-28,1996-06-22,5356
2691424,경영지원본부,경영기획실,사업관리팀,이윤희,일반,팀원,매니저,6,전략,2009-08-22,1998-06-13,2570
6546477,경영지원본부,구매지원실,자재구매팀,손승혁,임원,실장,상무,4,자재구매,1999-06-30,1974-01-15,8348
8652325,경영지원본부,경영기획실,전략기획팀,전현빈,일반,팀원,책임매니저,3,사업관리,2019-11-14,1979-11-13,8457
3684402,경영지원본부,구매지원실,자재구매팀,장주윤,일반,팀원,책임매니저,2,설비구매,2009-08-14,1976-09-26,6217
5388854,경영지원본부,경영기획실,전략기획팀,임하우,일반,팀원,매니저,3,사업관리,2012-12-01,1995-06-26,7255
6698140,경영지원본부,경영기획실,경영기획팀,심지은,일반,팀원,책임매니저,7,전략,2001-12-26,1986-01-03,9510
